"","content_id","content_type","category","reaction_type","date_time","sentiment","score","date","month","year"
"1","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","dislike",2020-06-25 17:01:00,"negative",10,"06/25/2020","06","2020"
"2","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","intrigued",2020-09-13 00:11:00,"positive",45,"09/13/2020","09","2020"
"3","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","peeking",2020-08-20 18:17:00,"neutral",35,"08/20/2020","08","2020"
"4","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","scared",2021-02-11 04:53:00,"negative",15,"02/11/2021","02","2021"
"5","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","hate",2021-03-08 10:40:00,"negative",5,"03/08/2021","03","2021"
"6","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","disgust",2021-03-28 21:15:00,"negative",0,"03/28/2021","03","2021"
"7","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","hate",2021-05-25 01:00:00,"negative",5,"05/25/2021","05","2021"
"8","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","like",2021-03-15 12:17:00,"positive",50,"03/15/2021","03","2021"
"9","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","love",2021-05-05 16:26:00,"positive",65,"05/05/2021","05","2021"
"10","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","love",2020-08-31 00:21:00,"positive",65,"08/31/2020","08","2020"
"11","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","heart",2021-06-16 03:02:00,"positive",60,"06/16/2021","06","2021"
"12","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","indifferent",2020-07-07 10:52:00,"neutral",20,"07/07/2020","07","2020"
"13","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","peeking",2020-08-20 07:59:00,"neutral",35,"08/20/2020","08","2020"
"14","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","love",2020-09-23 11:15:00,"positive",65,"09/23/2020","09","2020"
"15","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","like",2021-03-24 05:56:00,"positive",50,"03/24/2021","03","2021"
"16","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","hate",2020-12-07 19:13:00,"negative",5,"12/07/2020","12","2020"
"17","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","super love",2020-08-03 16:41:00,"positive",75,"08/03/2020","08","2020"
"18","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","adore",2021-01-10 15:36:00,"positive",72,"01/10/2021","01","2021"
"19","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","scared",2020-09-20 08:48:00,"negative",15,"09/20/2020","09","2020"
"20","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","cherish",2020-07-20 14:06:00,"positive",70,"07/20/2020","07","2020"
"21","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","adore",2020-10-24 12:15:00,"positive",72,"10/24/2020","10","2020"
"22","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","interested",2021-06-06 01:27:00,"positive",30,"06/06/2021","06","2021"
"23","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","heart",2020-12-25 00:09:00,"positive",60,"12/25/2020","12","2020"
"24","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","like",2021-06-14 07:56:00,"positive",50,"06/14/2021","06","2021"
"25","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","like",2021-06-05 18:00:00,"positive",50,"06/05/2021","06","2021"
"26","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","hate",2020-11-18 23:37:00,"negative",5,"11/18/2020","11","2020"
"27","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","interested",2021-05-09 02:42:00,"positive",30,"05/09/2021","05","2021"
"28","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","dislike",2021-05-11 08:38:00,"negative",10,"05/11/2021","05","2021"
"29","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","peeking",2020-11-12 08:00:00,"neutral",35,"11/12/2020","11","2020"
"30","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","heart",2020-06-21 16:57:00,"positive",60,"06/21/2020","06","2020"
"31","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","super love",2021-03-04 23:58:00,"positive",75,"03/04/2021","03","2021"
"32","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","want",2020-07-09 16:47:00,"positive",70,"07/09/2020","07","2020"
"33","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","hate",2020-08-01 19:16:00,"negative",5,"08/01/2020","08","2020"
"34","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","dislike",2020-11-23 22:46:00,"negative",10,"11/23/2020","11","2020"
"35","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","scared",2020-12-11 14:08:00,"negative",15,"12/11/2020","12","2020"
"36","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","dislike",2021-04-23 23:41:00,"negative",10,"04/23/2021","04","2021"
"37","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","want",2020-11-13 00:33:00,"positive",70,"11/13/2020","11","2020"
"38","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","interested",2021-06-09 10:13:00,"positive",30,"06/09/2021","06","2021"
"39","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","love",2020-10-29 19:41:00,"positive",65,"10/29/2020","10","2020"
"40","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","heart",2021-05-14 12:47:00,"positive",60,"05/14/2021","05","2021"
"41","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","disgust",2020-08-04 05:40:00,"negative",0,"08/04/2020","08","2020"
"42","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","adore",2020-08-07 04:09:00,"positive",72,"08/07/2020","08","2020"
"43","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","adore",2020-10-23 21:19:00,"positive",72,"10/23/2020","10","2020"
"44","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","adore",2020-11-14 23:53:00,"positive",72,"11/14/2020","11","2020"
"45","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","worried",2020-08-04 19:26:00,"negative",12,"08/04/2020","08","2020"
"46","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","interested",2020-11-12 04:54:00,"positive",30,"11/12/2020","11","2020"
