"","content_id","content_type","category","reaction_type","date_time","sentiment","score"
"1","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","dislike","6/25/2020 17:01","negative",10
"2","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","intrigued","9/13/2020 0:11","positive",45
"3","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","peeking","8/20/2020 18:17","neutral",35
"4","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","scared","2/11/2021 4:53","negative",15
"5","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","hate","3/8/2021 10:40","negative",5
"6","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","disgust","3/28/2021 21:15","negative",0
"7","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","hate","5/25/2021 1:00","negative",5
"8","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","like","3/15/2021 12:17","positive",50
"9","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","love","5/5/2021 16:26","positive",65
"10","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","love","8/31/2020 0:21","positive",65
"11","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","heart","6/16/2021 3:02","positive",60
"12","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","indifferent","7/7/2020 10:52","neutral",20
"13","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","peeking","8/20/2020 7:59","neutral",35
"14","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","love","9/23/2020 11:15","positive",65
"15","9f737e0a-3cdd-4d29-9d24-753f4e3be810","photo","healthy eating","like","3/24/2021 5:56","positive",50
"16","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","hate","12/7/2020 19:13","negative",5
"17","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","super love","8/3/2020 16:41","positive",75
"18","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","adore","1/10/2021 15:36","positive",72
"19","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","scared","9/20/2020 8:48","negative",15
"20","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","cherish","7/20/2020 14:06","positive",70
"21","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","adore","10/24/2020 12:15","positive",72
"22","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","interested","6/6/2021 1:27","positive",30
"23","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","heart","12/25/2020 0:09","positive",60
"24","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","like","6/14/2021 7:56","positive",50
"25","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","like","6/5/2021 18:00","positive",50
"26","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","hate","11/18/2020 23:37","negative",5
"27","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","interested","5/9/2021 2:42","positive",30
"28","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","dislike","5/11/2021 8:38","negative",10
"29","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","peeking","11/12/2020 8:00","neutral",35
"30","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","heart","6/21/2020 16:57","positive",60
"31","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","super love","3/4/2021 23:58","positive",75
"32","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","want","7/9/2020 16:47","positive",70
"33","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","hate","8/1/2020 19:16","negative",5
"34","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","dislike","11/23/2020 22:46","negative",10
"35","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","scared","12/11/2020 14:08","negative",15
"36","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","dislike","4/23/2021 23:41","negative",10
"37","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","want","11/13/2020 0:33","positive",70
"38","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","interested","6/9/2021 10:13","positive",30
"39","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","love","10/29/2020 19:41","positive",65
"40","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","heart","5/14/2021 12:47","positive",60
"41","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","disgust","8/4/2020 5:40","negative",0
"42","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","adore","8/7/2020 4:09","positive",72
"43","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","adore","10/23/2020 21:19","positive",72
"44","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","adore","11/14/2020 23:53","positive",72
"45","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","worried","8/4/2020 19:26","negative",12
"46","230c4e4d-70c3-461d-b42c-ec09396efb3f","photo","healthy eating","interested","11/12/2020 4:54","positive",30
"47","356fff80-da4d-4785-9f43-bc1261031dc6","photo","technology","worried","4/3/2021 12:17","negative",12
"48","356fff80-da4d-4785-9f43-bc1261031dc6","photo","technology","want","9/27/2020 22:15","positive",70
"49","356fff80-da4d-4785-9f43-bc1261031dc6","photo","technology","heart","10/27/2020 5:45","positive",60
"50","356fff80-da4d-4785-9f43-bc1261031dc6","photo","technology","scared","10/15/2020 9:11","negative",15
"51","356fff80-da4d-4785-9f43-bc1261031dc6","photo","technology","heart","5/7/2021 9:16","positive",60
"52","356fff80-da4d-4785-9f43-bc1261031dc6","photo","technology","hate","9/16/2020 8:39","negative",5
"53","356fff80-da4d-4785-9f43-bc1261031dc6","photo","technology","indifferent","10/29/2020 15:38","neutral",20
"54","01ab84dd-6364-4236-abbb-3f237db77180","video","food","scared","5/24/2021 18:03","negative",15
"55","e5490118-90d5-4572-ab1c-1fbc87b8d9ca","video","technology","want","3/31/2021 15:24","positive",70
"56","e5490118-90d5-4572-ab1c-1fbc87b8d9ca","video","technology","super love","2/5/2021 17:00","positive",75
"57","e5490118-90d5-4572-ab1c-1fbc87b8d9ca","video","technology","heart","2/19/2021 16:29","positive",60
"58","e5490118-90d5-4572-ab1c-1fbc87b8d9ca","video","technology","worried","7/25/2020 0:00","negative",12
"59","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","super love","6/30/2020 13:08","positive",75
"60","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","heart","8/4/2020 3:09","positive",60
"61","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","intrigued","7/28/2020 7:01","positive",45
"62","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","super love","10/25/2020 2:39","positive",75
"63","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","worried","7/5/2020 3:37","negative",12
"64","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","cherish","4/28/2021 15:16","positive",70
"65","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","indifferent","1/31/2021 0:54","neutral",20
"66","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","adore","8/29/2020 11:37","positive",72
"67","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","intrigued","10/15/2020 12:09","positive",45
"68","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","love","8/2/2020 21:20","positive",65
"69","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","scared","10/31/2020 21:46","negative",15
"70","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","heart","10/12/2020 9:40","positive",60
"71","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","want","12/12/2020 12:22","positive",70
"72","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","like","1/9/2021 16:37","positive",50
"73","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","hate","8/23/2020 4:39","negative",5
"74","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","love","12/22/2020 4:20","positive",65
"75","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","disgust","11/7/2020 8:49","negative",0
"76","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","adore","4/17/2021 22:45","positive",72
"77","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","scared","4/21/2021 0:21","negative",15
"78","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","intrigued","7/19/2020 10:33","positive",45
"79","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","intrigued","7/6/2020 2:08","positive",45
"80","5118e9c5-1377-4cc5-a486-65b35b7b7b76","GIF","science","love","3/26/2021 5:42","positive",65
"81","81abd65a-3b76-4574-a0a7-db6bf7184ae2","video","food","love","1/6/2021 6:08","positive",65
"82","81abd65a-3b76-4574-a0a7-db6bf7184ae2","video","food","worried","10/21/2020 3:48","negative",12
"83","81abd65a-3b76-4574-a0a7-db6bf7184ae2","video","food","worried","2/23/2021 22:36","negative",12
"84","81abd65a-3b76-4574-a0a7-db6bf7184ae2","video","food","super love","1/26/2021 1:00","positive",75
"85","81abd65a-3b76-4574-a0a7-db6bf7184ae2","video","food","peeking","12/18/2020 14:07","neutral",35
"86","81abd65a-3b76-4574-a0a7-db6bf7184ae2","video","food","indifferent","5/23/2021 23:27","neutral",20
"87","81abd65a-3b76-4574-a0a7-db6bf7184ae2","video","food","worried","10/31/2020 3:17","negative",12
"88","81abd65a-3b76-4574-a0a7-db6bf7184ae2","video","food","indifferent","2/20/2021 20:02","neutral",20
"89","81abd65a-3b76-4574-a0a7-db6bf7184ae2","video","food","super love","10/28/2020 13:14","positive",75
"90","81abd65a-3b76-4574-a0a7-db6bf7184ae2","video","food","peeking","8/30/2020 0:08","neutral",35
"91","81abd65a-3b76-4574-a0a7-db6bf7184ae2","video","food","disgust","12/8/2020 13:12","negative",0
"92","81abd65a-3b76-4574-a0a7-db6bf7184ae2","video","food","scared","11/4/2020 21:06","negative",15
